0,1,2,3,4
россия 1,местное время,2.9,16.4,3.7
тнт,сокровища императора,2.6,14.0,6.2
россия 1,вести. (20:00),2.6,16.3,5.2
стс,джуманджи: новый уровень,2.5,13.9,6.0
тнт,экстрасенсы. реванш,2.2,13.1,3.6
россия 1,вести недели,2.2,12.0,6.8
россия 1,выборы президента россии 2024,2.0,10.6,5.5
стс,инспектор гаврилов,2.0,12.6,2.5
нтв,"""следствие вели..."" с леонидом каневским",2.0,13.7,3.1
первый канал,переведи ее через майдан,1.9,11.9,3.3
россия 1,анна медиум,1.9,10.6,3.0
тнт,шоу воли,1.8,10.3,4.4
первый канал,голос,1.8,11.8,5.3
первый канал,время,1.8,10.1,3.9
россия 1,60 минут,1.8,17.3,5.6
тнт,конфетка,1.7,9.7,4.8
стс,"короче, план такой",1.7,10.6,2.7
пятница,молодые ножи,1.7,9.7,3.6
тнт,комеди клаб,1.6,9.3,3.2
нтв,ты не поверишь!,1.6,8.8,3.8
стс,уральские пельмени,1.6,11.3,4.3
россия 1,пятеро на одного,1.5,16.5,2.5
пятница,большие девочки,1.5,9.7,2.6
матч тв,футбол. кубок россии 2023-2024 (зенит (санкт-петербург) - динамо (москва)),1.5,8.6,3.8
пятый канал,след,1.4,8.2,1.8
нтв,звезды,1.4,8.0,4.7
россия 1,удивительные люди,1.4,9.3,4.8
нтв,сегодня днем. (16:00),1.4,12.6,1.8
нтв,дачный ответ,1.4,11.7,2.7
пятница,битва шефов,1.4,8.0,3.5
матч тв,футбол. кубок россии 2023-2024 (цска (москва) - ростов (ростов-на-дону)),1.4,7.9,3.4
рен тв,новости. (19:30),1.4,8.5,1.9
первый канал,новости. (07:30),1.3,23.5,1.6
россия 1,утро россии,1.3,21.8,1.6
россия 1,вести. (11:00),1.3,11.4,2.7
россия 1,вечер с владимиром соловьевым,1.3,18.7,3.1
тнт,экстрасенсы. битва сильнейших,1.3,10.6,2.5
мосфильм. золотая коллекция,"кавказская пленница, или новые приключения шурика",1.3,6.7,2.4
пятница,на ножах,1.3,9.7,2.5
тнт,камера мотор,1.3,7.4,1.8
первый канал,"телеканал ""доброе утро""",1.3,21.0,1.8
матч тв,футбол. кубок россии 2023-2024 (спартак (москва) - оренбург (оренбург)),1.3,11.0,3.2
пятница,молодые ножи (повтор),1.3,7.6,3.0
рен тв,земное ядро: бросок в преисподнюю,1.2,7.2,3.8
пятница,четыре свадьбы,1.2,6.8,2.3
нтв,наш потреб надзор,1.2,10.4,2.4
россия 1,воскресный вечер с владимиром соловьевым,1.2,8.5,2.0
нтв,своя игра,1.2,8.5,2.0
нтв,выборы 2024,1.2,7.2,9.9
рен тв,стражи галактики. часть 2,1.2,7.1,4.6
тнт,женский стендап,1.2,8.3,2.7
россия 1,вести. (14:00),1.2,9.6,1.9
стс,джуманджи: зов джунглей,1.2,9.4,3.8
нтв,квартирный вопрос,1.2,13.2,2.1
россия 1,вести. (07:30),1.2,21.1,1.3
первый канал,большая игра,1.2,8.8,2.5
россия 1,крым. 10 лет,1.2,9.8,2.7
первый канал,"новости. (12:00 сб, вск)",1.2,9.7,1.8
пятница,погнали!,1.2,5.9,4.1
нтв,10 дней до весны,1.1,6.2,2.1
россия 1,вести. (09:00),1.1,16.0,1.5
нтв,центральное телевидение,1.1,7.2,3.7
россия 1,москва. кремль. путин,1.1,9.9,2.0
нтв,чудо техники с сергеем малоземовым,1.1,9.6,2.3
пятый канал,великолепная пятерка,1.1,6.0,1.6
россия 1,сто к одному,1.1,10.2,2.1
рен тв,защитник,1.1,5.5,3.0
первый канал,мужское/женское,1.1,13.7,1.5
первый канал,новости. (08:00),1.1,17.7,1.2
первый канал,цивилизации,1.1,6.9,3.4
стс,прятки,1.1,6.6,2.3
россия 1,бесогон тв,1.1,10.3,2.3
первый канал,вечерние новости,1.1,6.6,3.1
стс,назад к динозаврам,1.1,8.9,2.0
рен тв,птица в клетке. заражение,1.1,8.7,2.8
пятница,мастер кондитер,1.1,6.7,2.5
мосфильм. золотая коллекция,иван васильевич меняет профессию,1.1,5.5,2.2
рен тв,новости. итоговая программа,1.1,8.7,3.0
нтв,международная пилорама с тиграном кеосаяном,1.0,8.1,1.9
нтв,место встречи,1.0,15.3,2.3
мосфильм. золотая коллекция,"операция ""ы"" и другие приключения шурика",1.0,6.0,1.7
рен тв,добровэфире,1.0,7.3,1.6
первый канал,новости. (07:00),1.0,20.0,1.5
первый канал,время покажет,1.0,8.5,3.1
тнт,новая фабрика звезд,1.0,6.6,3.7
нтв,сегодня утром. (10:00),1.0,15.9,1.2
первый канал,новости. (09:00),1.0,17.9,1.4
рен тв,новости. (23:00),1.0,6.8,1.2
стс,как деревянко ломоносова играл,1.0,7.9,2.2
первый канал,человек и закон,1.0,9.0,2.6
россия 1,вести. (08:00),1.0,16.3,1.0
рен тв,xxx - три икса,1.0,5.3,3.4
рен тв,смотреть всем!,1.0,5.4,2.5
тнт,лига городов,1.0,5.8,2.7
первый канал,новости. (12:00),1.0,13.6,1.4
первый канал,новости. (08:30),1.0,20.1,1.2
россия 1,вести. (16:00),1.0,7.4,2.1
россия 1,вести. (07:00),1.0,20.9,1.2
мир,судьба резидента,1.0,6.7,1.3
стс,окнутые люди,1.0,5.3,3.4
