0,1,2,3,4
0,местное время,2.8,16.3,3.6
4,сокровища императора,2.5,13.9,6.1
россия 1,вести. (20:00),2.5,16.2,5.1
5,джуманджи: новый уровень,2.4,13.8,5.9
тнт,экстрасенсы. реванш,2.1,13.0,3.5
россия 1,вести недели,2.1,11.9,6.7
россия 1,выборы президента россии 2024,1.9,10.5,5.4
стс,инспектор гаврилов,1.9,12.5,2.4
2,"""следствие вели..."" с леонидом каневским",1.9,13.6,3.0
1,переведи ее через майдан,1.8,11.8,3.2
россия 1,анна медиум,1.8,10.5,2.9
тнт,шоу воли,1.7,10.2,4.3
первый канал,голос,1.7,11.7,5.2
первый канал,время,1.7,10.0,3.8
россия 1,60 минут,1.7,17.2,5.5
тнт,конфетка,1.6,9.6,4.7
стс,"короче, план такой",1.6,10.5,2.6
8,молодые ножи,1.6,9.6,3.5
тнт,комеди клаб,1.5,9.2,3.1
нтв,ты не поверишь!,1.5,8.7,3.7
стс,уральские пельмени,1.5,11.2,4.2
россия 1,пятеро на одного,1.4,16.4,2.4
пятница,большие девочки,1.4,9.6,2.5
матч тв,футбол. кубок россии 2023-2024 (зенит (санкт-петербург) - динамо (москва)),1.4,8.5,3.7
пятый канал,след,1.3,8.1,1.7
нтв,звезды,1.3,7.9,4.6
россия 1,удивительные люди,1.3,9.2,4.7
нтв,сегодня днем. (16:00),1.3,12.5,1.7
нтв,дачный ответ,1.3,11.6,2.6
пятница,битва шефов,1.3,7.9,3.4
матч тв,футбол. кубок россии 2023-2024 (цска (москва) - ростов (ростов-на-дону)),1.3,7.8,3.3
3,новости. (19:30),1.3,8.4,1.8
первый канал,новости. (07:30),1.2,23.4,1.5
россия 1,утро россии,1.2,21.7,1.5
россия 1,вести. (11:00),1.2,11.3,2.6
россия 1,вечер с владимиром соловьевым,1.2,18.6,3.0
тнт,экстрасенсы. битва сильнейших,1.2,10.5,2.4
мосфильм. золотая коллекция,"кавказская пленница, или новые приключения шурика",1.2,6.6,2.3
пятница,на ножах,1.2,9.6,2.4
тнт,камера мотор,1.2,7.3,1.7
первый канал,"телеканал ""доброе утро""",1.2,20.9,1.7
матч тв,футбол. кубок россии 2023-2024 (спартак (москва) - оренбург (оренбург)),1.2,10.9,3.1
пятница,молодые ножи (повтор),1.2,7.5,2.9
рен тв,земное ядро: бросок в преисподнюю,1.1,7.1,3.7
пятница,четыре свадьбы,1.1,6.7,2.2
нтв,наш потреб надзор,1.1,10.3,2.3
россия 1,воскресный вечер с владимиром соловьевым,1.1,8.4,1.9
нтв,своя игра,1.1,8.4,1.9
нтв,выборы 2024,1.1,7.1,9.8
рен тв,стражи галактики. часть 2,1.1,7.0,4.5
тнт,женский стендап,1.1,8.2,2.6
россия 1,вести. (14:00),1.1,9.5,1.8
стс,джуманджи: зов джунглей,1.1,9.3,3.7
нтв,квартирный вопрос,1.1,13.1,2.0
россия 1,вести. (07:30),1.1,21.0,1.2
первый канал,большая игра,1.1,8.7,2.4
россия 1,крым. 10 лет,1.1,9.7,2.6
первый канал,"новости. (12:00 сб, вск)",1.1,9.6,1.7
пятница,погнали!,1.1,5.8,4.0
нтв,10 дней до весны,1.0,6.1,2.0
россия 1,вести. (09:00),1.0,15.9,1.4
нтв,центральное телевидение,1.0,7.1,3.6
россия 1,москва. кремль. путин,1.0,9.8,1.9
нтв,чудо техники с сергеем малоземовым,1.0,9.5,2.2
пятый канал,великолепная пятерка,1.0,5.9,1.5
россия 1,сто к одному,1.0,10.1,2.0
рен тв,защитник,1.0,5.4,2.9
первый канал,мужское/женское,1.0,13.6,1.4
первый канал,новости. (08:00),1.0,17.6,1.1
первый канал,цивилизации,1.0,6.8,3.3
стс,прятки,1.0,6.5,2.2
россия 1,бесогон тв,1.0,10.2,2.2
первый канал,вечерние новости,1.0,6.5,3.0
стс,назад к динозаврам,1.0,8.8,1.9
рен тв,птица в клетке. заражение,1.0,8.6,2.7
пятница,мастер кондитер,1.0,6.6,2.4
мосфильм. золотая коллекция,иван васильевич меняет профессию,1.0,5.4,2.1
рен тв,новости. итоговая программа,1.0,8.6,2.9
нтв,международная пилорама с тиграном кеосаяном,0.9,8.0,1.8
нтв,место встречи,0.9,15.2,2.2
мосфильм. золотая коллекция,"операция ""ы"" и другие приключения шурика",0.9,5.9,1.6
рен тв,добровэфире,0.9,7.2,1.5
первый канал,новости. (07:00),0.9,19.9,1.4
первый канал,время покажет,0.9,8.4,3.0
тнт,новая фабрика звезд,0.9,6.5,3.6
нтв,сегодня утром. (10:00),0.9,15.8,1.1
первый канал,новости. (09:00),0.9,17.8,1.3
рен тв,новости. (23:00),0.9,6.7,1.1
стс,как деревянко ломоносова играл,0.9,7.8,2.1
первый канал,человек и закон,0.9,8.9,2.5
россия 1,вести. (08:00),0.9,16.2,0.9
рен тв,xxx - три икса,0.9,5.2,3.3
рен тв,смотреть всем!,0.9,5.3,2.4
тнт,лига городов,0.9,5.7,2.6
первый канал,новости. (12:00),0.9,13.5,1.3
первый канал,новости. (08:30),0.9,20.0,1.1
россия 1,вести. (16:00),0.9,7.3,2.0
россия 1,вести. (07:00),0.9,20.8,1.1
19,судьба резидента,0.9,6.6,1.2
стс,окнутые люди,0.9,5.2,3.3
