0,1,2
россия 1,8.07,3.82
первый канал,6.93,4.23
нтв,6.18,3.31
рен тв,5.84,3.39
тнт,4.06,2.31
стс,3.84,2.97
россия 24,2.91,2.37
домашний,2.9,1.63
пятница,2.85,1.76
5 канал,2.51,1.76
мосфильм. золотая коллекция hd,2.49,1.97
тв центр,2.19,1.76
ю,2.11,1.12
мульт hd,1.91,0.85
тв3,1.9,1.91
звезда,1.6,1.82
матч! тв,1.6,1.45
россия 1 hd,1.59,1.07
русский роман,1.57,0.98
мир,1.32,1.35
карусель,1.29,0.96
первый канал hd,1.27,1.08
солнце,1.23,0.78
viju tv1000 action,1.09,1.34
кино тв hd,1.02,1.3
русский детектив,0.94,0.58
мультимузыка,0.85,0.41
нст,0.84,0.96
волжский+ (powernet),0.83,1.05
русский бестселлер,0.82,0.63
нтв-хит,0.79,0.49
тнт4,0.76,0.7
кинопоказ,0.74,1.32
viju tv1000,0.73,1.19
cinema,0.72,1.26
комедия,0.72,1.0
блокбастер hd,0.65,1.15
день победы hd,0.64,1.13
viju tv1000 русское,0.64,1.26
отр,0.59,1.29
суббота!,0.59,0.51
detectivejam hd (тест),0.58,0.57
россия к,0.53,1.21
стс love,0.51,0.48
ultra hd cinema hd,0.51,0.89
чижик hd,0.49,0.71
че,0.47,0.53
муз,0.47,0.81
kinojam 1 hd (тест),0.42,1.05
спас,0.41,0.93
scream hd,0.41,0.76
нтв-стиль hd,0.38,0.44
сарафан,0.37,0.6
kinojam 2 hd (тест),0.36,0.93
bolt hd,0.36,0.57
нтв-сериал hd,0.34,0.39
волгоград 24 hd,0.32,0.97
нтв-право,0.3,0.38
bridge classic,0.3,0.27
тнт hd,0.29,0.41
нтв hd,0.29,0.45
живая планета,0.29,0.33
ultra hd cinema,0.28,0.86
матч! тв hd,0.26,0.21
любимое кино,0.26,0.78
рыжий,0.26,0.36
star cinema hd,0.25,0.47
русский иллюзион,0.25,0.76
еврокино,0.25,0.93
.black,0.24,0.47
viju nature,0.22,0.31
иллюзион плюс,0.22,0.74
красная линия,0.22,0.25
мтв,0.22,0.76
дорама hd,0.21,0.26
рбк,0.21,0.22
диалоги о рыбалке,0.2,0.45
bridge шлягер,0.2,0.28
в гостях у сказки,0.2,0.41
рыболов,0.19,0.39
star family hd,0.18,0.51
viju explore,0.18,0.28
охотник и рыболов hd,0.17,0.39
familyjam hd (тест),0.17,0.48
уникум,0.17,0.32
арсенал hd,0.16,0.38
охота и рыбалка,0.16,0.37
2x2,0.16,0.32
tv xxi,0.16,0.61
ретро,0.15,0.59
волгоград 1 hd,0.15,0.6
тайна,0.14,0.54
наука 2.0,0.13,0.23
т24,0.13,0.37
моя планета,0.13,0.29
телепутешествия,0.13,0.24
viju history,0.13,0.27
bridge deluxe,0.12,0.13
приключения hd,0.12,0.27
усадьба,0.12,0.21
ru tv,0.11,0.17
zоопарк,0.11,0.26
советское кино,0.11,0.49
bridge hits,0.11,0.19
e,0.1,0.14
zoo tv,0.1,0.28
bridge фрэш,0.1,0.17
bollywood hd,0.1,0.28
тнт music,0.09,0.16
история,0.09,0.22
загородный,0.08,0.21
europa plus tv,0.08,0.19
bridge русский хит,0.07,0.17
вопросы и ответы,0.06,0.11
9 волна,0.06,0.13
старт hd,0.06,0.1
russian extreme,0.06,0.16
rtg,0.05,0.12
первый космический hd,0.05,0.23
rtg hd,0.05,0.15
bridge,0.05,0.13
bridge rock,0.04,0.14
viju+ sport,0.04,0.14
shopping live,0.04,0.12
телеканал народной музыки hd,0.04,0.13
нано,0.03,0.12
sumiko hd,0.03,0.16
союз,0.03,0.04
спортивный hd,0.03,0.09
ювелирочка,0.03,0.08
футбольный hd,0.02,0.07
театр,0.02,0.32
кубань 24,0.02,0.12
домашние животные,0.02,0.19
тонус тв,0.02,0.07
калейдоскоп тв,0.02,0.08
хоккейный hd,0.02,0.04
футбол hd,0.02,0.1
радио россии,0.02,0.05
радио вести фм,0.02,0.02
просвещение,0.02,0.08
russia today doc hd,0.02,0.12
живи активно hd,0.01,0.14
о!2 тв hd,0.01,0.13
беларусь 24,0.01,0.09
вместе-рф,0.01,0.08
здоровое тв,0.01,0.1
мир 24,0.01,0.1
da vinci,0.01,0.13
leomax24,0.01,0.08
радио маяк,0.01,0.03
luxury,0.01,0.05
360 hd,0.01,0.09
russia today,0.01,0.07
8 канал,0.01,0.04
грозный,0.01,0.05
астрахань 24 hd,0.01,0.08
психология-21,0.01,0.07
три ангела,0.01,0.04
тнв планета,0.01,0.05
мама,0.01,0.02
